latitude,longitude,radius,addition_date,geohash
2.01,98.98,1.11,19/11/2022,
-7.36,109.38,1.11,19/11/2022,
-5.22,105.21,1.11,19/11/2022,
-6.8,108.44,1.11,19/11/2022,
-3.87,122.06,1.11,19/11/2022,
-8.1,112.28,1.11,19/11/2022,
-2.92,104.58,1.11,19/11/2022,
-8.45,114.34,1.11,19/11/2022,
-5.15,105.02,1.11,19/11/2022,
-3.97,122.46,1.11,19/11/2022,
-6.44,107.41,1.11,19/11/2022,
-8.34,114.12,1.11,19/11/2022,
-6.8,107.26,1.11,19/11/2022,
-1.86,102.29,1.11,19/11/2022,
-0.83,103.45,1.11,19/11/2022,
-6.89,113.65,1.11,19/11/2022,
-8.43,115.45,1.11,19/11/2022,
-6.55,106.95,1.11,19/11/2022,
-2.49,112.14,1.11,19/11/2022,
-7.74,113.49,1.11,19/11/2022,
-6.16,107.39,1.11,19/11/2022,
-6.06,107.26,1.11,19/11/2022,
-8.3,113.98,1.11,19/11/2022,
-7.91,112.7,1.11,19/11/2022,
0.34,127.86,1.11,19/11/2022,
-6.9,112.16,1.11,19/11/2022,
-0.03,99.86,1.11,19/11/2022,
-7.67,111.96,1.11,19/11/2022,
-7.42,108.55,1.11,19/11/2022,
-6.36,107.68,1.11,19/11/2022,
-7.06,112.34,1.11,19/11/2022,
-6.44,108.1,1.11,19/11/2022,
-7.76,110.71,1.11,19/11/2022,
-3.21,104.53,1.11,19/11/2022,
1.35,99.3,1.11,19/11/2022,
-3.94,122.49,1.11,19/11/2022,
-7.81,110.23,1.11,19/11/2022,
-7.11,110.87,1.11,19/11/2022,
-6.84,107.84,1.11,19/11/2022,
-6.7,105.65,1.11,19/11/2022,
-4.5,105.24,1.11,19/11/2022,
-6.88,109.65,1.11,19/11/2022,
-8.16,115.08,1.11,19/11/2022,
-6.64,107.62,1.11,19/11/2022,
-6.36,107.69,1.11,19/11/2022,
0,109.26,1.11,19/11/2022,
-6.45,107.13,1.11,19/11/2022,
-6.43,107.17,1.11,19/11/2022,
-6.93,110.22,1.11,19/11/2022,
-6.44,108.05,1.11,19/11/2022,
-7.3,108.33,1.11,19/11/2022,
-7.03,112.36,1.11,19/11/2022,
-6.75,106.73,1.11,19/11/2022,
-7.51,112.59,1.11,19/11/2022,
-7.39,108.5,1.11,19/11/2022,
-6.76,111.3,1.11,19/11/2022,
-8.2,112.61,1.11,19/11/2022,
-3.81,103.51,1.11,19/11/2022,
-6.83,107.09,1.11,19/11/2022,
-7.74,112.7,1.11,19/11/2022,
-2.85,103.87,1.11,19/11/2022,
-7.96,111.45,1.11,19/11/2022,
-6.67,111.08,1.11,19/11/2022,
-7.53,111.64,1.11,19/11/2022,
0.07,99.82,1.11,19/11/2022,
-3.55,104.19,1.11,19/11/2022,
-7.21,108.91,1.11,19/11/2022,
-4.84,105.22,1.11,19/11/2022,
-7.82,111.59,1.11,19/11/2022,
-3.11,102.2,1.11,19/11/2022,
-6.86,106.9,1.11,19/11/2022,
-6.98,109.5,1.11,19/11/2022,
-6.79,110.77,1.11,19/11/2022,
-8.09,112.34,1.11,19/11/2022,
-3.25,105.28,1.11,19/11/2022,
0.93,104.5,1.11,19/11/2022,
-5.97,106.3,1.11,19/11/2022,
-7.01,113.38,1.11,19/11/2022,
-6.43,107.41,1.11,19/11/2022,
-7.19,110.39,1.11,19/11/2022,
-7.34,106.55,1.11,19/11/2022,
-7.53,108.36,1.11,19/11/2022,
-7.42,109.04,1.11,19/11/2022,
-7.37,109.38,1.11,19/11/2022,
-0.83,100.34,1.11,19/11/2022,
-7.71,112.65,1.11,19/11/2022,
-5,105.11,1.11,19/11/2022,
-7.78,110.77,1.11,19/11/2022,
-7.17,110.4,1.11,19/11/2022,
-8.37,114.21,1.11,19/11/2022,
-6.77,108.35,1.11,19/11/2022,
-6.99,109.68,1.11,19/11/2022,
-3.39,104.58,1.11,19/11/2022,
-6.68,107.9,1.11,19/11/2022,
-7,110.16,1.11,19/11/2022,
-6.08,105.99,1.11,19/11/2022,
-0.34,103.14,1.11,19/11/2022,
-7.16,109.47,1.11,19/11/2022,
-7.58,112.1,1.11,19/11/2022,
-1.58,103.74,1.11,19/11/2022,
4.15,117.91,1.11,19/11/2022,
-7.42,108.35,1.11,19/11/2022,
-8.54,115.2,1.11,19/11/2022,
-6.47,107.86,1.11,19/11/2022,
-7.64,110.73,1.11,19/11/2022,
3.5,98.91,1.11,19/11/2022,
-7.31,109.43,1.11,19/11/2022,
-6.47,110.75,1.11,19/11/2022,
-3.78,128.12,1.11,19/11/2022,
-4.9,105.05,1.11,19/11/2022,
-7.41,109.87,1.11,19/11/2022,
-1.76,103.56,1.11,19/11/2022,
4.29,98.08,1.11,19/11/2022,
-7.56,110.23,1.11,19/11/2022,
-7.55,110.23,1.11,19/11/2022,
-10.12,123.72,1.11,19/11/2022,
-6.86,108,1.11,19/11/2022,
-0.3,103.16,1.11,19/11/2022,
-6.08,106.4,1.11,19/11/2022,
-7.94,110.24,1.11,19/11/2022,
-6.81,110.9,1.11,19/11/2022,
-6.64,108.19,1.11,19/11/2022,
-5.44,105.02,1.11,19/11/2022,
-8.15,115.11,1.11,19/11/2022,
-2.32,115.31,1.11,19/11/2022,
-8.07,112.11,1.11,19/11/2022,
-6.18,107.23,1.11,19/11/2022,
-6.3,107.79,1.11,19/11/2022,
-8.06,111.88,1.11,19/11/2022,
-0.71,117.09,1.11,19/11/2022,
-6.78,108.21,1.11,19/11/2022,
-7.36,108,1.11,19/11/2022,
-7.4,108.68,1.11,19/11/2022,
-7.71,111.94,1.11,19/11/2022,
-0.03,109.26,1.11,19/11/2022,
-4.8,119.59,1.11,19/11/2022,
-2.53,104.11,1.11,19/11/2022,
-0.95,119.86,1.11,19/11/2022,
-8.79,116.28,1.11,19/11/2022,
1.68,100.41,1.11,19/11/2022,
-6.9,112.96,1.11,19/11/2022,
-6.3,106.44,1.11,19/11/2022,
-8.2,114.96,1.11,19/11/2022,
0.96,109.02,1.11,19/11/2022,
-0.57,100.28,1.11,19/11/2022,
0.53,123.11,1.11,19/11/2022,
-6.65,107.32,1.11,19/11/2022,
-6.56,110.76,1.11,19/11/2022,
-6.25,106.22,1.11,19/11/2022,
-2.12,115.39,1.11,19/11/2022,
-1.65,103.27,1.11,19/11/2022,
-6.09,106,1.11,19/11/2022,
-6.81,106.73,1.11,19/11/2022,
-7.01,106.82,1.11,19/11/2022,
-7.48,111.05,1.11,19/11/2022,
-7.57,112.3,1.11,19/11/2022,
-1.68,115.82,1.11,19/11/2022,
-5.34,105.04,1.11,19/11/2022,
-1.8,115.15,1.11,19/11/2022,
-5.48,104.68,1.11,19/11/2022,
-2.08,101.45,1.11,19/11/2022,
-7.72,113.06,1.11,19/11/2022,
-0.53,110.36,1.11,19/11/2022,
-6.51,108.14,1.11,19/11/2022,
-7.1,112.48,1.11,19/11/2022,
-7.63,110.73,1.11,19/11/2022,
0.49,122.08,1.11,19/11/2022,
-5.41,105.23,1.11,19/11/2022,
-5.08,105.2,1.11,19/11/2022,
-7.01,109.68,1.11,19/11/2022,
-5.3,105.74,1.11,19/11/2022,
-7.06,106.81,1.11,19/11/2022,
-6.99,108.62,1.11,19/11/2022,
-7.01,107.98,1.11,19/11/2022,
-6.94,110.18,1.11,19/11/2022,
-4.97,105.23,1.11,19/11/2022,
-6.85,109.05,1.11,19/11/2022,
-7.52,108.11,1.11,19/11/2022,
-7.56,110.31,1.11,19/11/2022,
-8.12,112.26,1.11,19/11/2022,
-7.9,112.14,1.11,19/11/2022,
-6.59,111.04,1.11,19/11/2022,
-6.27,107.6,1.11,19/11/2022,
-4.62,105.05,1.11,19/11/2022,
0.88,99.56,1.11,19/11/2022,
0.37,112.3,1.11,19/11/2022,
-6.76,108.35,1.11,19/11/2022,
-2.88,104.4,1.11,19/11/2022,
-6.33,107.43,1.11,19/11/2022,
-7.04,113.9,1.11,19/11/2022,
-7.04,109.56,1.11,19/11/2022,
-7.83,111.18,1.11,19/11/2022,
-6.86,108.62,1.11,19/11/2022,
-3.42,114.62,1.11,19/11/2022,
-7.32,109.32,1.11,19/11/2022,
-6.11,106.36,1.11,19/11/2022,
-7.31,110.67,1.11,19/11/2022,
-6.99,109.6,1.11,19/11/2022,
-6.33,107.59,1.11,19/11/2022,
-6.7,106.69,1.11,19/11/2022,
3.59,98.49,1.11,19/11/2022,
3.6,98.49,1.11,19/11/2022,
-7.72,114,1.11,19/11/2022,
-6.81,107.16,1.11,19/11/2022,
-7.27,112.57,1.11,19/11/2022,
-6.1,106.47,1.11,19/11/2022,
-6.87,109.68,1.11,19/11/2022,
-6.77,108.59,1.11,19/11/2022,
-7.82,110.92,1.11,19/11/2022,
3.56,98.6,1.11,19/11/2022,
-1.66,103.6,1.11,19/11/2022,
-6.92,107.51,1.11,19/11/2022,
-6.89,109.69,1.11,19/11/2022,
-7.42,109.26,1.11,19/11/2022,
-0.89,100.37,1.11,19/11/2022,
-3.43,114.85,1.11,19/11/2022,
-7.18,110.41,1.11,19/11/2022,
-3.88,102.32,1.11,19/11/2022,
3.61,98.61,1.11,19/11/2022,
-7.03,109.6,1.11,19/11/2022,
-7.08,107.74,1.11,19/11/2022,
-7.51,111.21,1.11,19/11/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.554031372,107.8191376,0.075,07/12/2022,
-6.415328979,106.8029022,0.075,07/12/2022,
-6.490859985,106.7960358,0.075,07/12/2022,
-6.13243103,106.8125153,0.075,07/12/2022,
-6.13243103,106.8125153,0.075,07/12/2022,
-7.909469604,112.6284027,0.075,07/12/2022,
-6.400222778,107.4112701,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.489486694,106.7974091,0.075,07/12/2022,
-6.164016724,106.8619537,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.164016724,106.8701935,0.075,07/12/2022,
-6.131057739,106.844101,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.941299438,107.6639557,0.075,07/12/2022,
-6.257400513,107.1269989,0.075,07/12/2022,
-6.177749634,106.7987823,0.075,07/12/2022,
-6.926193237,107.6433563,0.075,07/12/2022,
-6.109085083,106.7411041,0.075,07/12/2022,
-6.109085083,106.7411041,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.258773804,106.5145111,0.075,07/12/2022,
-6.490859985,106.7960358,0.075,07/12/2022,
-6.131057739,106.844101,0.075,07/12/2022,
-6.131057739,106.844101,0.075,07/12/2022,
-7.283248901,112.6613617,0.075,07/12/2022,
-6.131057739,106.844101,0.075,07/12/2022,
-6.264266968,106.7246246,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-7.266769409,112.7492523,0.075,07/12/2022,
-7.909469604,112.6284027,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.214828491,106.9210052,0.075,07/12/2022,
-6.415328979,106.8029022,0.075,07/12/2022,
-6.258773804,106.5145111,0.075,07/12/2022,
-6.489486694,106.7974091,0.075,07/12/2022,
-6.941299438,107.6639557,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.415328979,106.8029022,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.554031372,107.8191376,0.075,07/12/2022,
-6.390609741,106.8015289,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.415328979,106.8070221,0.075,07/12/2022,
-6.411209106,106.8647003,0.075,07/12/2022,
-6.926193237,107.6433563,0.075,07/12/2022,
-6.489486694,106.7974091,0.075,07/12/2022,
-6.941299438,107.6639557,0.075,07/12/2022,
-6.162643433,107.0404816,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.897354126,106.8166351,0.075,07/12/2022,
-6.411209106,106.8688202,0.075,07/12/2022,
-6.898727417,109.6181488,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.147537231,106.7836761,0.075,07/12/2022,
-7.283248901,112.6613617,0.075,07/12/2022,
-7.283248901,112.6613617,0.075,07/12/2022,
-6.489486694,106.7974091,0.075,07/12/2022,
-6.953659058,107.6433563,0.075,07/12/2022,
-6.393356323,106.8413544,0.075,07/12/2022,
-6.214828491,106.9210052,0.075,07/12/2022,
-6.415328979,106.8070221,0.075,07/12/2022,
-6.489486694,106.7974091,0.075,07/12/2022,
-6.162643433,107.0404816,0.075,07/12/2022,
-6.489486694,106.7974091,0.075,07/12/2022,
-6.181869507,106.6216278,0.075,07/12/2022,
-6.166763306,106.8619537,0.075,07/12/2022,
-7.323074341,108.2091522,0.075,07/12/2022,
-6.393356323,106.8413544,0.075,07/12/2022,
-6.926193237,107.6213837,0.075,07/12/2022,
-6.814956665,106.7191315,0.075,07/12/2022,
-6.554031372,107.8191376,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.258773804,106.5145111,0.075,07/12/2022,
-6.201095581,106.8427277,0.075,07/12/2022,
-6.177749634,106.7987823,0.075,07/12/2022,
-6.221694946,106.7809296,0.075,07/12/2022,
-6.898727417,109.6181488,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.941299438,107.6639557,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.109085083,106.7411041,0.075,07/12/2022,
-7.262649536,112.7574921,0.075,07/12/2022,
-6.489486694,106.7974091,0.075,07/12/2022,
-6.183242798,106.9470978,0.075,07/12/2022,
-6.393356323,106.8413544,0.075,07/12/2022,
-6.147537231,106.7850494,0.075,07/12/2022,
-6.147537231,106.7836761,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.147537231,106.7836761,0.075,07/12/2022,
-6.411209106,106.8688202,0.075,07/12/2022,
-6.216201782,106.9361115,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.275253296,106.9649506,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.177749634,106.7987823,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.898727417,109.6181488,0.075,07/12/2022,
-6.162643433,107.0404816,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.880874634,109.6675873,0.075,07/12/2022,
-6.275253296,106.9649506,0.075,07/12/2022,
-6.37550354,107.8246307,0.075,07/12/2022,
-6.434555054,106.8029022,0.075,07/12/2022,
-6.926193237,107.6433563,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-7.332687378,109.2363739,0.075,07/12/2022,
-6.177749634,106.7987823,0.075,07/12/2022,
-6.214828491,106.9210052,0.075,07/12/2022,
-6.247787476,106.7562103,0.075,07/12/2022,
-6.109085083,106.7411041,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.490859985,106.7960358,0.075,07/12/2022,
-6.173629761,106.7699432,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.201095581,106.8427277,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.898727417,109.6181488,0.075,07/12/2022,
-6.273880005,106.9649506,0.075,07/12/2022,
-6.304092407,106.9484711,0.075,07/12/2022,
-6.880874634,109.6675873,0.075,07/12/2022,
-6.214828491,106.9210052,0.075,07/12/2022,
-6.941299438,107.6639557,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-7.909469604,112.6284027,0.075,07/12/2022,
-6.261520386,106.853714,0.075,07/12/2022,
-6.898727417,109.6181488,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.258773804,106.5145111,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.220321655,107.0789337,0.075,07/12/2022,
-6.131057739,106.8125153,0.075,07/12/2022,
-6.214828491,106.9210052,0.075,07/12/2022,
-6.898727417,109.6181488,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.945419312,107.6296234,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.554031372,107.8191376,0.075,07/12/2022,
-6.220321655,107.0789337,0.075,07/12/2022,
-6.898727417,109.6181488,0.075,07/12/2022,
-6.166763306,106.8619537,0.075,07/12/2022,
-7.70072937,114.0113068,0.075,07/12/2022,
-7.191238403,107.8850555,0.075,07/12/2022,
-6.191482544,106.8784332,0.075,07/12/2022,
-6.223068237,106.9470978,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.164016724,106.8619537,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.453781128,106.8647003,0.075,07/12/2022,
-6.247787476,106.7562103,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.897354126,106.8166351,0.075,07/12/2022,
-6.183242798,106.9470978,0.075,07/12/2022,
-6.411209106,106.8647003,0.075,07/12/2022,
-6.411209106,106.8647003,0.075,07/12/2022,
-6.191482544,106.8784332,0.075,07/12/2022,
-7.262649536,112.7574921,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.298599243,106.8784332,0.075,07/12/2022,
-6.37550354,107.8246307,0.075,07/12/2022,
-6.147537231,106.7850494,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.814956665,106.7191315,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.415328979,106.8070221,0.075,07/12/2022,
-6.393356323,106.8413544,0.075,07/12/2022,
-6.177749634,106.7987823,0.075,07/12/2022,
-6.264266968,106.7246246,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.273880005,106.9649506,0.075,07/12/2022,
-7.262649536,112.7574921,0.075,07/12/2022,
-6.102218628,106.9223785,0.075,07/12/2022,
-6.131057739,106.844101,0.075,07/12/2022,
-6.810836792,107.4785614,0.075,07/12/2022,
-6.191482544,106.8784332,0.075,07/12/2022,
-6.166763306,106.8619537,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.99760437,110.411911,0.075,07/12/2022,
-6.941299438,107.6639557,0.075,07/12/2022,
-6.434555054,106.8029022,0.075,07/12/2022,
-6.434555054,106.8029022,0.075,07/12/2022,
-6.434555054,106.8029022,0.075,07/12/2022,
-6.434555054,106.8029022,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.390609741,106.8015289,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.897354126,106.8166351,0.075,07/12/2022,
-6.177749634,106.7987823,0.075,07/12/2022,
-6.897354126,106.8166351,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.880874634,109.6675873,0.075,07/12/2022,
-6.183242798,106.9470978,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.14616394,106.8564606,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-7.717208862,114.0003204,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-7.283248901,112.6613617,0.075,07/12/2022,
-6.400222778,107.4112701,0.075,07/12/2022,
-6.166763306,106.8619537,0.075,07/12/2022,
-7.717208862,114.0003204,0.075,07/12/2022,
-6.880874634,109.6675873,0.075,07/12/2022,
-7.699356079,114.0113068,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.13243103,106.8125153,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.554031372,107.8191376,0.075,07/12/2022,
-6.247787476,106.7562103,0.075,07/12/2022,
-6.941299438,107.6639557,0.075,07/12/2022,
-6.390609741,106.8015289,0.075,07/12/2022,
-7.70072937,114.0113068,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.164016724,106.8770599,0.075,07/12/2022,
-6.147537231,106.7836761,0.075,07/12/2022,
-6.393356323,106.8413544,0.075,07/12/2022,
-6.214828491,106.9210052,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-7.283248901,112.6613617,0.075,07/12/2022,
-6.147537231,106.7850494,0.075,07/12/2022,
-7.283248901,112.6613617,0.075,07/12/2022,
-6.897354126,106.8166351,0.075,07/12/2022,
-6.37550354,107.8246307,0.075,07/12/2022,
-6.216201782,106.9361115,0.075,07/12/2022,
-6.330184937,107.0061493,0.075,07/12/2022,
-6.113204956,106.8894196,0.075,07/12/2022,
-6.177749634,106.7987823,0.075,07/12/2022,
-6.993484497,107.6392365,0.075,07/12/2022,
-6.264266968,106.7246246,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
-6.147537231,106.7850494,0.075,07/12/2022,
-6.273880005,106.9649506,0.075,07/12/2022,
-6.37550354,107.8246307,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.187362671,107.0418549,0.075,07/12/2022,
-6.143417358,106.8248749,0.075,07/12/2022,
-7.909469604,112.6284027,0.075,07/12/2022,
-6.411209106,106.8660736,0.075,07/12/2022,
